STC_RFS_DATE,EQPT_NAME,GOLD_ORDER_NUMBER,IC01_ID,cust_name,OCEANE_Site,OCEANE_Product_Identifier2
"06/10/2021 10:59:29",KHIN30108,10-1218479,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/10/2021 11:48:38",ALON31374,10-1217914,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/11/2021 14:13:32",KWUX30812,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/24/2021 11:24:52",KXVP30041,,689068,"Otis Elevator Company",689068_FRA_Roissy-en-France_00,"No Data Found"
"06/09/2021 12:45:31",AIST30171,10-1234305,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 10:43:16",AROM30035,10-1217893,686138,"British American Shared Services G",686138_ITA_Roma_002,"No Data Found"
"04/15/2021 10:42:23",AMAD329,10-1242790,30075,"Philip Morris International",30075_ESP_Madrid_002,"No Data Found"
"06/10/2021 10:59:29",KHIN30012,10-1218479,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/11/2021 14:13:32",AWUX30925,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/24/2021 11:24:52",KXVP30040,,689068,"Otis Elevator Company",689068_FRA_Roissy-en-France_00,"No Data Found"
"06/25/2021 20:11:11",PUIO334,10-1272881,670409,"DSM Group Business Services",0687_Sangolqui-Amaguana,"No Data Found"
NULL,ASIN021,,30075,"Philip Morris International",SG-SIN-RND,"No Data Found"
"06/18/2021 00:57:29",KFBM30059,10-1240364,682318,"MMG Australia Limited",682318_COD_Lubumbashi_00003,"No Data Found"
"06/10/2021 11:02:51",KTAS30039,10-1234239,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/14/2021 12:31:11",SLIM30182,10-1262110,39398,"MASTERCARD INTERNATIONAL",39398_PER_Lima_004,"No Data Found"
"06/09/2021 12:32:44",AWAW30293,10-1217415,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 10:27:19",AMAD30724,10-1218249,686138,"British American Shared Services G",686138_ESP_Madrid_001,"No Data Found"
"06/29/2021 16:48:07",AHND138,,9594,"GlaxoSmithKline Services Unlimited",GSK-JPN-IMA,"No Data Found"
"06/10/2021 20:06:55",KHKG30222,,689068,"Otis Elevator Company","689068_HKG_Kowloon Bay_001","No Data Found"
"06/10/2021 11:33:56",AISB30032,10-1218473,686138,"British American Shared Services G",686138_PAK_Rawalpindi_002,"No Data Found"
"06/10/2021 11:48:38",KLON31298,10-1217914,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/10/2021 10:59:29",AHIN30174,10-1218479,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/11/2021 14:13:32",AWUX30965,,9594,"GlaxoSmithKline Services Unlimited",9594_CHN_Suzhou_006,"No Data Found"
"06/08/2021 13:29:33",AZAG30041,10-1250848,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/21/2021 09:01:32",KBNJ1285,10-1315620,680333,"BUYIN Gmbh",680333_DEU_Bonn_001,"No Data Found"
"06/10/2021 10:59:29",KHIN30009,10-1218479,686138,"British American Shared Services G",686138_KOR_Sacheon-si_001,"No Data Found"
"06/09/2021 12:05:11",KLOS30175,10-1218002,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/01/2021 08:24:47",AGLA30144,,9594,"GlaxoSmithKline Services Unlimited",GSK-GBR-IRV,"No Data Found"
"06/09/2021 10:54:13",APNH30038,10-1252736,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 12:12:39",KBUD30281,10-1234299,686138,"British American Shared Services G",686138_HUN_Budapest_002,"No Data Found"
"06/10/2021 10:59:29",KHIN30068,10-1218479,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/10/2021 10:59:29",AHIN30114,10-1218479,686138,"British American Shared Services G",686138_KOR_Sacheon-si_001,"No Data Found"
"06/18/2021 00:57:29",KFBM30020,10-1240364,682318,"MMG Australia Limited",682318_COD_Lubumbashi_00003,"No Data Found"
"06/09/2021 11:06:50",KTPQ30010,10-1217530,686138,"British American Shared Services G",686138_MEX_Tepic_001,"No Data Found"
"06/17/2021 13:01:09",AKHI30406,,9594,"GlaxoSmithKline Services Unlimited",GSK-PAK-KA5,"No Data Found"
"06/10/2021 11:48:38",KLON31252,10-1217914,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 11:22:41",ANTR30160,10-1217531,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 11:22:41",KNTR30029,10-1217531,686138,"British American Shared Services G",686138_MEX_Monterrey_002,"No Data Found"
"06/09/2021 11:22:41",ANTR30153,10-1217531,686138,"British American Shared Services G",686138_MEX_Monterrey_002,"No Data Found"
"06/09/2021 11:22:41",ANTR30136,10-1217531,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 11:22:41",ANTR30103,10-1217531,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 11:34:39",KRGN30022,10-1217409,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 13:02:55",ASKD30045,10-1250851,686138,"British American Shared Services G","No Data Found","No Data Found"
"06/09/2021 13:02:55",KSKD30076,10-1250851,686138,"British American Shared Services G","No Data Found","No Data Found"
